Glycan,C1,C2,C3,C_4,C_5
5-6-0-3-0 All Adducts,458979744,244327826,428092576,N/A,N/A
5-6-0-3-0 All Ratio,1.88,1,1.75,N/A,N/A
5-6-0-4-0 Protonated,101200.9,24298.4,22878.7,N/A,N/A
5-6-0-4-0 Protonated Ratio,4.42,1.06,1,N/A,N/A
5-6-0-4-0 All Adducts,101200.9,32677.23,22878.7,N/A,N/A
5-6-0-4-0 All Ratio,4.42,1.43,1,N/A,N/A
5-6-1-0-0 Protonated,2493503,1537156,4982482,N/A,N/A
5-6-1-0-0 Protonated Ratio,1.62,1,3.24,N/A,N/A
5-6-1-0-0 All Adducts,2493502.75,1866046.16,4982482,N/A,N/A
5-6-1-0-0 All Ratio,1.34,1,2.67,N/A,N/A
5-6-1-1-0 Protonated,2632065,2639960,8621239,N/A,N/A
5-6-1-1-0 Protonated Ratio,1,1,3.28,N/A,N/A
5-6-1-1-0 All Adducts,2632064.75,8876711.5,10479425.38,N/A,N/A
5-6-1-1-0 All Ratio,1,3.37,3.98,N/A,N/A
5-6-1-2-0 Protonated,17335710,13407590,52499820,N/A,N/A
5-6-1-2-0 Protonated Ratio,1.29,1,3.92,N/A,N/A
5-6-1-2-0 All Adducts,24021269,24757676,65539252,N/A,N/A
5-6-1-2-0 All Ratio,1,1.03,2.73,N/A,N/A
5-6-1-3-0 Protonated,122638900,45048360,237805200,N/A,N/A
5-6-1-3-0 Protonated Ratio,2.72,1,5.28,N/A,N/A
5-6-1-3-0 All Adducts,122638904,67340800,319554056,N/A,N/A
5-6-1-3-0 All Ratio,1.82,1,4.75,N/A,N/A
5-6-2-0-0 Protonated,1841079,988664.9,1298450,N/A,N/A
5-6-2-0-0 Protonated Ratio,1.86,1,1.31,N/A,N/A
5-6-2-0-0 All Adducts,1841079.25,988664.88,1298449.75,N/A,N/A
5-6-2-0-0 All Ratio,1.86,1,1.31,N/A,N/A
5-6-2-1-0 Protonated,22391250,11240310,8085452,N/A,N/A
5-6-2-1-0 Protonated Ratio,2.77,1.39,1,N/A,N/A
5-6-2-1-0 All Adducts,22391248,23126989,19825799.5,N/A,N/A
5-6-2-1-0 All Ratio,1.13,1.17,1,N/A,N/A
5-6-2-3-0 Protonated,33437010,7576351,4244999,N/A,N/A
5-6-2-3-0 Protonated Ratio,7.88,1.78,1,N/A,N/A
